id,name,dob,batting_hand_id,bowling_skill_id,country_id
353,BJ Rohrer,26-Mar-81,1,,5
354,KL Rahul,18-Apr-92,2,,1
355,Q de Kock,17-Dec-92,1,,2
356,R Dhawan,19-Feb-90,2,5,1
357,MG Johnson,2-Nov-81,1,14,5
358,LJ Wright,7-Mar-85,2,5,10
359,IC Pandey,15-Aug-89,2,1,1
360,CM Gautam,8-Mar-86,2,,1
361,X Thalaivan Sargunam,15-May-85,2,2,1
362,DJG Sammy,20-Dec-83,2,5,8
363,KW Richardson,12-Feb-91,2,3,5
364,MM Sharma,18-Sep-88,2,1,1
365,UA Birla,17-Nov-89,2,1,1
366,Parvez Rasool,13-Feb-89,2,2,1
367,Sandeep Sharma,18-May-93,2,1,1
368,S Kaul,19-May-90,2,1,1
369,Sachin Baby,18-Dec-88,1,2,1
370,PV Tambe,8-Oct-71,2,10,1
371,NM Coulter-Nile,11-Oct-87,2,11,5
372,CJ Anderson,13-Dec-90,1,9,4
373,NJ Maddinson,21-Dec-91,1,7,5
374,AR Patel,20-Jan-94,1,7,1
375,JJ Bumrah,6-Dec-93,2,1,1
376,JDS Neesham,17-Sep-90,1,1,4
377,TG Southee,11-Dec-88,2,5,4
378,MA Starc,30-Jan-90,1,14,5
379,BR Dunk,11-Mar-87,1,,5
380,RR Rossouw,9-Oct-89,1,2,2
381,Shivam Sharma,9-Sep-93,2,2,1
382,YS Chahal,23-Jul-90,2,4,1
383,LMP Simmons,25-Jan-85,2,5,8
384,VH Zol,23-Nov-94,1,2,1
385,BCJ Cutting,30-Jan-87,2,3,5
386,Imran Tahir,27-Mar-79,2,4,1
387,BE Hendricks,8-Jun-90,1,6,2
388,S Gopal,4-Sep-93,2,10,1
389,M de Lange,13-Oct-90,2,11,2
390,R Tewatia,20-May-93,1,10,1
391,JO Holder,5-Nov-91,2,5,8
392,Karanveer Singh,8-Nov-87,2,4,1
393,SS Iyer,6-Dec-94,2,4,1
394,DJ Hooda,19-Apr-95,2,2,1
395,Anureet Singh,2-Mar-88,2,1,1
396,KS Williamson,8-Aug-90,2,2,4
397,SA Abbott,29-Feb-92,2,3,4
398,J Suchith,16-Jan-94,1,7,1
399,RG More,2-Feb-92,2,1,1
400,HH Pandya,11-Oct-93,2,5,1
401,D Wiese,18-May-85,2,5,2
402,SN Khan,27-Oct-97,2,10,1
403,MJ McClenaghan,11-Jun-86,1,6,4
404,DJ Muthuswami,9-Mar-81,2,1,1
405,PJ Cummins,8-May-93,2,11,5
406,SN Thakur,16-Oct-91,2,1,1
407,JC Buttler,8-Sep-90,2,,10
408,CR Brathwaite,18-Jul-88,2,3,8
409,MP Stoinis,16-Aug-89,2,1,5
410,Ishan Kishan,18-Jul-98,1,,1
411,C Munro,11-Mar-87,1,5,4
412,P Sahu,21-Aug-85,2,4,1
413,KH Pandya,24-Mar-91,1,7,1
414,AD Nath,10-May-93,2,5,1
415,MJ Guptill,30-Sep-86,2,2,4
416,KJ Abbott,18-Jun-87,2,3,2
417,TM Head,29-Dec-93,1,2,5
418,M Ashwin,8-Sep-90,2,4,1
419,NS Naik,9-Nov-94,2,,1
420,RR Pant,4-Oct-97,1,,1
421,SW Billings,15-Jun-91,2,,10
422,KC Cariappa,13-Apr-94,2,10,1
423,PSP Handscomb,26-Apr-91,2,,5
424,Swapnil Singh,22-Jan-91,2,7,1
425,J Yadav,22-Jan-90,2,2,1
426,UT Khawaja,18-Dec-86,1,1,5
427,HM Amla,31-Mar-83,2,2,2
428,F Behardien,9-Oct-83,2,3,2
429,BB Sran,10-Dec-92,1,13,1
430,A Zampa,31-Mar-92,2,4,5
431,N Rana,27-Dec-93,1,2,1
432,S Kaushik,7-Sep-95,2,8,1
433,ER Dwivedi,22-Jul-88,2,,1
434,CJ Jordan,4-Oct-88,2,3,10
435,P Amarnath,1-Jun-82,2,1,1
436,B Geeves,13-Jun-82,2,3,5
437,Gagandeep Singh,3-Oct-81,2,5,1
438,A Nel,15-Jul-77,2,3,2
439,AM Salvi,20-Oct-81,2,1,1
440,RR Bose,27-Feb-79,2,3,1
441,SS Sarkar,15-Dec-84,2,1,1
442,RA Shaikh,12-Jun-85,1,13,1
443,C Ganapathy,10-Jun-81,2,1,1
444,MB Parmar,12-Apr-88,2,2,1
445,AA Kazi,29-Sep-89,1,7,1
446,Anand Rajan,17-Apr-87,2,1,1
447,P Prasanth,22-May-85,1,7,1
448,SS Mundhe,27-Oct-88,2,1,1
449,RW Price,12-Jun-76,2,7,9
450,TP Sudhindra,24-Apr-84,1,11,1
451,BW Hilfenhaus,15-Mar-83,2,3,5
452,S Badree,9-Mar-81,2,10,8
453,P Suyal,15-Oct-89,2,13,1
454,MG Neser,29-Mar-90,2,1,5
455,V Shankar,26-Jan-91,2,1,1
456,K Santokie,20-Dec-84,1,13,8
457,JW Hastings,4-Nov-85,2,3,5
458,TA Boult,22-Jul-89,2,6,4
459,GS Sandhu,14-Jun-93,1,3,5
460,Mustafizur Rahman,6-Sep-95,1,6,11
461,AF Milne,13-Apr-92,2,11,4
462,Kuldeep Yadav,14-Dec-94,1,8,1
463,T Shamsi,18-Feb-90,2,8,2
464,SM Boland,11-Apr-89,2,3,5
465,DL Chahar,7-Aug-92,2,1,1
466,P Dharmani,27-Sep-74,2,,1
467,RV Pawar,6-Sep-79,1,7,1
468,KH Devdhar,14-Dec-89,2,,1
469,T Mishra,22-Dec-86,2,3,1
